日期,股票代码,名称,收盘价
2019-06-26,'000001,上证指数,2976.2837
2019-06-25,'000001,上证指数,2982.0738
2019-06-24,'000001,上证指数,3008.1479
2019-06-21,'000001,上证指数,3001.9802
2019-06-20,'000001,上证指数,2987.1186
2019-06-19,'000001,上证指数,2917.8029
2019-06-18,'000001,上证指数,2890.158
2019-06-17,'000001,上证指数,2887.6221
2019-06-14,'000001,上证指数,2881.9743
2019-06-13,'000001,上证指数,2910.7406
2019-06-12,'000001,上证指数,2909.3796
2019-06-11,'000001,上证指数,2925.7162
2019-06-10,'000001,上证指数,2852.1302
2019-06-06,'000001,上证指数,2827.7978
2019-06-05,'000001,上证指数,2861.4181
2019-06-04,'000001,上证指数,2862.2803
2019-06-03,'000001,上证指数,2890.0809
2019-05-31,'000001,上证指数,2898.6961
2019-05-30,'000001,上证指数,2905.8054
2019-05-29,'000001,上证指数,2914.6964
2019-05-28,'000001,上证指数,2909.9106
2019-05-27,'000001,上证指数,2892.3782
2019-05-24,'000001,上证指数,2852.9948
2019-05-23,'000001,上证指数,2852.5153
2019-05-22,'000001,上证指数,2891.7046
2019-05-21,'000001,上证指数,2905.9688
2019-05-20,'000001,上证指数,2870.6046
2019-05-17,'000001,上证指数,2882.2962
2019-05-16,'000001,上证指数,2955.711
2019-05-15,'000001,上证指数,2938.6781
2019-05-14,'000001,上证指数,2883.6107
2019-05-13,'000001,上证指数,2903.7131
2019-05-10,'000001,上证指数,2939.2106
2019-05-09,'000001,上证指数,2850.9537
2019-05-08,'000001,上证指数,2893.7567
2019-05-07,'000001,上证指数,2926.3908
2019-05-06,'000001,上证指数,2906.464
2019-04-30,'000001,上证指数,3078.3389
2019-04-29,'000001,上证指数,3062.4985
2019-04-26,'000001,上证指数,3086.3989
2019-04-25,'000001,上证指数,3123.8261
2019-04-24,'000001,上证指数,3201.6137
2019-04-23,'000001,上证指数,3198.5938
2019-04-22,'000001,上证指数,3215.0426
2019-04-19,'000001,上证指数,3270.7973
2019-04-18,'000001,上证指数,3250.2012
2019-04-17,'000001,上证指数,3263.1179
2019-04-16,'000001,上证指数,3253.5978
2019-04-15,'000001,上证指数,3177.7866
2019-04-12,'000001,上证指数,3188.6256
2019-04-11,'000001,上证指数,3189.9619
2019-04-10,'000001,上证指数,3241.9299
2019-04-09,'000001,上证指数,3239.6639
2019-04-08,'000001,上证指数,3244.8103
2019-04-04,'000001,上证指数,3246.5714
2019-04-03,'000001,上证指数,3216.2952
2019-04-02,'000001,上证指数,3176.8227
2019-04-01,'000001,上证指数,3170.361
2019-03-29,'000001,上证指数,3090.758
2019-03-28,'000001,上证指数,2994.9434
2019-03-27,'000001,上证指数,3022.7196
2019-03-26,'000001,上证指数,2997.0954
2019-03-25,'000001,上证指数,3043.0313
2019-03-22,'000001,上证指数,3104.1487
2019-03-21,'000001,上证指数,3101.455
2019-03-20,'000001,上证指数,3090.6403
2019-03-19,'000001,上证指数,3090.975
2019-03-18,'000001,上证指数,3096.4176
2019-03-15,'000001,上证指数,3021.7512
2019-03-14,'000001,上证指数,2990.685
2019-03-13,'000001,上证指数,3026.9513
2019-03-12,'000001,上证指数,3060.3073
2019-03-11,'000001,上证指数,3026.9925
2019-03-08,'000001,上证指数,2969.8614
2019-03-07,'000001,上证指数,3106.4179
2019-03-06,'000001,上证指数,3102.0991
2019-03-05,'000001,上证指数,3054.2466
2019-03-04,'000001,上证指数,3027.5755
2019-03-01,'000001,上证指数,2994.005
2019-02-28,'000001,上证指数,2940.9538
2019-02-27,'000001,上证指数,2953.8242
2019-02-26,'000001,上证指数,2941.5163
2019-02-25,'000001,上证指数,2961.2834
2019-02-22,'000001,上证指数,2804.2262
2019-02-21,'000001,上证指数,2751.8012
2019-02-20,'000001,上证指数,2761.2189
2019-02-19,'000001,上证指数,2755.6459
2019-02-18,'000001,上证指数,2754.3566
2019-02-15,'000001,上证指数,2682.385
2019-02-14,'000001,上证指数,2719.6999
2019-02-13,'000001,上证指数,2721.0683
2019-02-12,'000001,上证指数,2671.8937
2019-02-11,'000001,上证指数,2653.896
2019-02-01,'000001,上证指数,2618.2323
2019-01-31,'000001,上证指数,2584.5724
2019-01-30,'000001,上证指数,2575.5756
2019-01-29,'000001,上证指数,2594.2536
2019-01-28,'000001,上证指数,2596.9767
2019-01-25,'000001,上证指数,2601.7234
2019-01-24,'000001,上证指数,2591.6935
2019-01-23,'000001,上证指数,2581.0041
2019-01-22,'000001,上证指数,2579.7041
2019-01-21,'000001,上证指数,2610.5094
2019-01-18,'000001,上证指数,2596.0056
2019-01-17,'000001,上证指数,2559.637
2019-01-16,'000001,上证指数,2570.4221
2019-01-15,'000001,上证指数,2570.3449
2019-01-14,'000001,上证指数,2535.7653
2019-01-11,'000001,上证指数,2553.8313
2019-01-10,'000001,上证指数,2535.0985
2019-01-09,'000001,上证指数,2544.3449
2019-01-08,'000001,上证指数,2526.4622
2019-01-07,'000001,上证指数,2533.0887
2019-01-04,'000001,上证指数,2514.8682
2019-01-03,'000001,上证指数,2464.3628
2019-01-02,'000001,上证指数,2465.291
2018-12-28,'000001,上证指数,2493.8962
2018-12-27,'000001,上证指数,2483.0864
2018-12-26,'000001,上证指数,2498.2939
2018-12-25,'000001,上证指数,2504.819
2018-12-24,'000001,上证指数,2527.0071
2018-12-21,'000001,上证指数,2516.2506
2018-12-20,'000001,上证指数,2536.2675
2018-12-19,'000001,上证指数,2549.5634
2018-12-18,'000001,上证指数,2576.6495
2018-12-17,'000001,上证指数,2597.9737
2018-12-14,'000001,上证指数,2593.7407
2018-12-13,'000001,上证指数,2634.0491
2018-12-12,'000001,上证指数,2602.1526
2018-12-11,'000001,上证指数,2594.0881
2018-12-10,'000001,上证指数,2584.5822
2018-12-07,'000001,上证指数,2605.8876
2018-12-06,'000001,上证指数,2605.1813
2018-12-05,'000001,上证指数,2649.8051
2018-12-04,'000001,上证指数,2665.9577
2018-12-03,'000001,上证指数,2654.798
2018-11-30,'000001,上证指数,2588.1875
2018-11-29,'000001,上证指数,2567.4434
2018-11-28,'000001,上证指数,2601.7365
2018-11-27,'000001,上证指数,2574.6792
2018-11-26,'000001,上证指数,2575.8101
2018-11-23,'000001,上证指数,2579.4831
2018-11-22,'000001,上证指数,2645.4339
2018-11-21,'000001,上证指数,2651.5053
2018-11-20,'000001,上证指数,2645.8545
2018-11-19,'000001,上证指数,2703.5116
2018-11-16,'000001,上证指数,2679.1097
2018-11-15,'000001,上证指数,2668.1704
2018-11-14,'000001,上证指数,2632.2425
2018-11-13,'000001,上证指数,2654.8795
2018-11-12,'000001,上证指数,2630.5195
2018-11-09,'000001,上证指数,2598.8715
2018-11-08,'000001,上证指数,2635.6322
2018-11-07,'000001,上证指数,2641.342
2018-11-06,'000001,上证指数,2659.3564
2018-11-05,'000001,上证指数,2665.4306
2018-11-02,'000001,上证指数,2676.4762
2018-11-01,'000001,上证指数,2606.2372
2018-10-31,'000001,上证指数,2602.7832
2018-10-30,'000001,上证指数,2568.0481
2018-10-29,'000001,上证指数,2542.1033
2018-10-26,'000001,上证指数,2598.8468
2018-10-25,'000001,上证指数,2603.7995
2018-10-24,'000001,上证指数,2603.2951
2018-10-23,'000001,上证指数,2594.8255
2018-10-22,'000001,上证指数,2654.8762
2018-10-19,'000001,上证指数,2550.4652
2018-10-18,'000001,上证指数,2486.4186
2018-10-17,'000001,上证指数,2561.614
2018-10-16,'000001,上证指数,2546.3296
2018-10-15,'000001,上证指数,2568.0984
2018-10-12,'000001,上证指数,2606.9125
2018-10-11,'000001,上证指数,2583.4575
2018-10-10,'000001,上证指数,2725.8367
2018-10-09,'000001,上证指数,2721.013
2018-10-08,'000001,上证指数,2716.5104
2018-09-28,'000001,上证指数,2821.3501
2018-09-27,'000001,上证指数,2791.7748
2018-09-26,'000001,上证指数,2806.8133
2018-09-25,'000001,上证指数,2781.1385
2018-09-21,'000001,上证指数,2797.4848
2018-09-20,'000001,上证指数,2729.2438
2018-09-19,'000001,上证指数,2730.8503
2018-09-18,'000001,上证指数,2699.9501
2018-09-17,'000001,上证指数,2651.7886
2018-09-14,'000001,上证指数,2681.6431
