日期,收盘,开盘,高,低,涨跌幅
2019年6月26日,2.635,2.667,2.667,2.635,-0.72%
2019年6月25日,2.654,2.679,2.679,2.638,0.00%
2019年6月24日,2.654,2.725,2.725,2.65,0.23%
2019年6月21日,2.648,2.703,2.703,2.64,4.17%
2019年6月20日,2.542,2.594,2.594,2.542,-0.70%
2019年6月19日,2.56,2.57,2.57,2.55,-2.55%
2019年6月18日,2.627,2.639,2.639,2.619,0.65%
2019年6月17日,2.61,2.62,2.62,2.605,3.12%
2019年6月14日,2.531,2.544,2.544,2.531,-0.82%
2019年6月13日,2.552,2.552,2.552,2.552,0.08%
2019年6月12日,2.55,2.55,2.55,2.55,0.51%
2019年6月11日,2.537,2.542,2.542,2.535,-0.31%
2019年6月10日,2.545,2.56,2.56,2.545,-0.08%
2019年6月6日,2.547,2.55,2.552,2.545,0.28%
2019年6月5日,2.54,2.591,2.591,2.54,-1.82%
2019年6月4日,2.587,2.603,2.604,2.587,0.04%
2019年6月3日,2.586,2.577,2.586,2.564,0.74%
2019年5月31日,2.567,2.612,2.617,2.567,-1.99%
2019年5月30日,2.619,2.627,2.627,2.613,0.19%
2019年5月29日,2.614,2.639,2.639,2.614,-0.31%
2019年5月28日,2.622,2.609,2.626,2.609,1.39%
2019年5月27日,2.586,2.6,2.6,2.579,-1.03%
2019年5月24日,2.613,2.627,2.63,2.613,0.50%
2019年5月23日,2.6,2.6,2.604,2.59,-0.57%
2019年5月22日,2.615,2.616,2.66,2.575,0.85%
2019年5月21日,2.593,2.617,2.617,2.593,0.00%
2019年5月20日,2.593,2.65,2.65,2.593,-1.03%
2019年5月17日,2.62,2.667,2.667,2.617,-0.30%
2019年5月16日,2.628,2.653,2.653,2.628,0.31%
2019年5月15日,2.62,2.669,2.669,2.62,0.11%
2019年5月14日,2.617,2.616,2.619,2.616,0.19%
2019年5月13日,2.612,2.629,2.629,2.609,-0.61%
2019年5月10日,2.628,2.665,2.665,2.623,0.31%
2019年5月9日,2.62,2.68,2.68,2.601,0.50%
2019年5月8日,2.607,2.65,2.65,2.605,-0.87%
2019年5月7日,2.63,2.643,2.643,2.62,-0.19%
2019年5月6日,2.635,2.65,2.66,2.635,-1.86%
2019年4月30日,2.685,2.72,2.72,2.663,0.79%
2019年4月29日,2.664,2.66,2.68,2.65,0.15%
2019年4月28日,2.66,2.68,2.68,2.66,-1.12%
2019年4月26日,2.69,2.745,2.745,2.69,-0.11%
2019年4月25日,2.693,2.745,2.745,2.693,0.11%
2019年4月24日,2.69,2.722,2.722,2.688,-0.55%
2019年4月23日,2.705,2.729,2.729,2.705,0.41%
2019年4月22日,2.694,2.77,2.77,2.694,0.41%
2019年4月19日,2.683,2.749,2.749,2.676,-0.63%
2019年4月18日,2.7,2.627,2.721,2.627,6.30%
2019年4月17日,2.54,2.525,2.55,2.525,1.40%
2019年4月16日,2.505,2.525,2.525,2.505,0.60%
2019年4月15日,2.49,2.47,2.49,2.47,2.17%
2019年4月12日,2.437,2.42,2.437,2.41,0.83%
2019年4月11日,2.417,2.39,2.417,2.39,0.00%
2019年4月10日,2.417,2.41,2.435,2.41,1.13%
2019年4月9日,2.39,2.46,2.46,2.39,-2.17%
2019年4月8日,2.443,2.43,2.465,2.43,1.16%
2019年4月4日,2.415,2.44,2.47,2.415,-0.90%
2019年4月3日,2.437,2.46,2.46,2.402,1.97%
2019年4月2日,2.39,2.42,2.425,2.39,-0.13%
2019年4月1日,2.393,2.468,2.468,2.393,-0.25%
2019年3月29日,2.399,2.449,2.449,2.399,0.08%
2019年3月28日,2.397,2.457,2.457,2.397,-1.32%
2019年3月27日,2.429,2.467,2.467,2.429,0.41%
2019年3月26日,2.419,2.431,2.435,2.419,0.00%
2019年3月25日,2.419,2.38,2.431,2.38,0.17%
2019年3月22日,2.415,2.443,2.443,2.408,-0.29%
2019年3月21日,2.422,2.45,2.45,2.417,-0.21%
2019年3月20日,2.427,2.46,2.46,2.427,0.00%
2019年3月19日,2.427,2.453,2.453,2.427,0.29%
2019年3月18日,2.42,2.5,2.5,2.42,0.54%
2019年3月15日,2.407,2.437,2.455,2.407,-1.07%
2019年3月14日,2.433,2.461,2.463,2.433,0.29%
2019年3月13日,2.426,2.447,2.448,2.426,0.46%
2019年3月12日,2.415,2.453,2.47,2.415,-0.62%
2019年3月11日,2.43,2.44,2.44,2.43,-0.41%
2019年3月8日,2.44,2.45,2.47,2.44,1.04%
2019年3月7日,2.415,2.447,2.447,2.415,-1.71%
2019年3月6日,2.457,2.472,2.472,2.457,-0.16%
2019年3月5日,2.461,2.454,2.471,2.454,1.40%
2019年3月4日,2.427,2.495,2.495,2.427,-0.25%
2019年3月1日,2.433,2.429,2.443,2.42,1.00%
2019年2月28日,2.409,2.425,2.432,2.409,-0.37%
2019年2月27日,2.418,2.4,2.418,2.4,2.15%
2019年2月26日,2.367,2.363,2.367,2.363,0.30%
2019年2月25日,2.36,2.395,2.395,2.36,1.16%
2019年2月22日,2.333,2.345,2.345,2.327,0.26%
2019年2月21日,2.327,2.347,2.347,2.313,0.82%
2019年2月20日,2.308,2.305,2.333,2.298,-0.17%
2019年2月19日,2.312,2.341,2.341,2.312,0.83%
2019年2月18日,2.293,2.36,2.36,2.293,-1.80%
2019年2月15日,2.335,2.35,2.35,2.335,0.65%
2019年2月14日,2.32,2.375,2.375,2.32,-1.02%
2019年2月13日,2.344,2.365,2.365,2.344,-0.30%
2019年2月12日,2.351,2.405,2.405,2.351,0.04%
2019年2月11日,2.35,2.455,2.455,2.35,-1.47%
2019年2月2日,2.385,2.413,2.413,2.385,0.21%
2019年2月1日,2.38,2.43,2.43,2.38,-1.45%
2019年1月31日,2.415,2.443,2.443,2.415,0.08%
2019年1月30日,2.413,2.451,2.451,2.413,-0.62%
2019年1月29日,2.428,2.447,2.455,2.428,0.33%
2019年1月28日,2.42,2.47,2.47,2.42,-0.49%
2019年1月25日,2.432,2.468,2.468,2.432,-0.65%
2019年1月24日,2.448,2.463,2.468,2.448,0.33%
2019年1月23日,2.44,2.49,2.49,2.399,-0.61%
2019年1月22日,2.455,2.49,2.49,2.455,-0.20%
2019年1月21日,2.46,2.49,2.49,2.455,1.36%
2019年1月18日,2.427,2.475,2.475,2.427,-0.53%
2019年1月17日,2.44,2.485,2.485,2.44,-0.53%
2019年1月16日,2.453,2.475,2.475,2.429,-0.04%
2019年1月15日,2.454,2.458,2.47,2.45,0.29%
2019年1月14日,2.447,2.47,2.47,2.435,7.89%
2019年1月11日,2.268,2.281,2.281,2.268,-0.48%
2019年1月10日,2.279,2.287,2.287,2.274,0.26%
2019年1月9日,2.273,2.306,2.306,2.273,-1.77%
2019年1月8日,2.314,2.36,2.36,2.314,-2.65%
2019年1月7日,2.377,2.41,2.41,2.377,-1.37%
2019年1月4日,2.41,2.41,2.41,2.41,0.04%
2019年1月3日,2.409,2.409,2.409,2.409,-2.86%
2019年1月2日,2.48,2.48,2.48,2.48,-3.69%
2018年12月28日,2.575,2.61,2.61,2.575,-2.09%
2018年12月27日,2.63,2.676,2.7,2.63,-1.39%
2018年12月26日,2.667,2.674,2.676,2.667,0.60%
2018年12月25日,2.651,2.675,2.675,2.651,0.00%
2018年12月24日,2.651,2.7,2.7,2.651,-6.72%
2018年12月21日,2.842,2.842,2.842,2.842,0.74%
2018年12月20日,2.821,2.745,2.888,2.745,7.38%
2018年12月19日,2.627,2.64,2.64,2.625,0.31%
2018年12月18日,2.619,2.63,2.63,2.619,-0.57%
2018年12月17日,2.634,2.635,2.638,2.628,0.61%
