节目名,评分,链接
青春有你第2季,7.2,http://www.iqiyi.com/v_19rxzkvgic.html
我要这样生活,,http://www.iqiyi.com/v_19ry2ae250.html
我是唱作人第2季,7.3,http://www.iqiyi.com/v_19ry2j59a4.html
偶像练习生,7.4,http://www.iqiyi.com/v_19rrbfem78.html
喜欢你我也是,7.6,http://www.iqiyi.com/v_19rsd5jm78.html
青春有你,7,http://www.iqiyi.com/v_19rsjcrlas.html
青春的花路,8.2,http://www.iqiyi.com/v_19rsl0aoig.html
青春有你2会员升级版,,http://www.iqiyi.com/v_19rxzistg4.html
限定的记忆,7.4,http://www.iqiyi.com/v_19rupl6tnc.html
奇妙的食光,8.3,http://www.iqiyi.com/v_19rqs1u08w.html
热血街舞团,7.2,http://www.iqiyi.com/v_19rr0chzdw.html
开饭啦!唱作人第2季,,http://www.iqiyi.com/v_19ry3cjbl8.html
做家务的男人,7.6,http://www.iqiyi.com/v_19rvg9i2kg.html
hi室友,7.9,http://www.iqiyi.com/v_19rqt13az8.html
潮流合伙人,7.1,http://www.iqiyi.com/v_19rx716raw.html
坑王驾到第4季,7,http://www.iqiyi.com/v_19ry31a5ow.html
奇葩说第6季,7.4,http://www.iqiyi.com/v_19rwbd5gh8.html
喜剧人专场,,http://www.iqiyi.com/v_19rwxeybj0.html
中国有嘻哈,7.6,http://www.iqiyi.com/v_19rr8xply8.html
青春加点戏,,http://www.iqiyi.com/v_19ry257r54.html
遇见你真好,7.7,http://www.iqiyi.com/v_19rsfpn4h4.html
国风美少年,7.8,http://www.iqiyi.com/v_19rqwm6ym0.html
中国新说唱2019,7,http://www.iqiyi.com/v_19rss25z6g.html
演员的品格,7.6,http://www.iqiyi.com/v_19rqu8vuhw.html
中国音乐公告牌,7.8,http://www.iqiyi.com/v_19rr45p0l8.html
蜗的生活日记,,http://www.iqiyi.com/v_19ry24uyio.html
我去上学啦第2季,8.2,http://www.iqiyi.com/v_19rr9kaq3w.html
我是唱作人第1季,7.2,http://www.iqiyi.com/v_19rse90zt8.html
乐队的夏天,7.1,http://www.iqiyi.com/v_19rtgl69hs.html
这样唱好美,7,http://www.iqiyi.com/v_19rwk1hm50.html
慢游全世界,7.5,http://www.iqiyi.com/v_19rutt33qk.html
小姐姐的花店,7.4,http://www.iqiyi.com/v_19rqvr6msg.html
中国新说唱,7.2,http://www.iqiyi.com/v_19rr5a8t7g.html
偶滴歌神啊第3季,7.8,http://www.iqiyi.com/v_19rr9m7zzs.html
天使之路第1季,7,http://www.iqiyi.com/v_19rrejdpfw.html
奇葩说第5季,7.6,http://www.iqiyi.com/v_19rqs2dqf0.html
咕噔咕噔banana,7.1,http://www.iqiyi.com/v_19rqssqu3g.html
爱笑会议室,8.6,http://www.iqiyi.com/v_19rr8f2eco.html
坑王驾到第1季,8.7,http://www.iqiyi.com/v_19rre2h4ss.html
喜欢你我也是恋爱秘籍版,7.3,http://www.iqiyi.com/v_19rs7xd7go.html
姐姐好饿第2季,7.4,http://www.iqiyi.com/v_19rr8kupjo.html
unine蹦吧,7.5,http://www.iqiyi.com/v_19rrq0l198.html
了不起的兽人族,7.2,http://www.iqiyi.com/v_19rrfm7ovo.html
奇葩说第4季,8,http://www.iqiyi.com/v_19rr73y7ec.html
打榜日记,7,http://www.iqiyi.com/v_19rr485epw.html
偶滴歌神啊第1季,8.1,http://www.iqiyi.com/v_19rrkk5rog.html
变身总动员,,http://www.iqiyi.com/v_19rut7hy20.html
青春的花路福利版,7.3,http://www.iqiyi.com/v_19rsjy3caw.html
机器人争霸,7.4,http://www.iqiyi.com/v_19rr0xoxho.html
开饭啦!唱作人第1季,7.5,http://www.iqiyi.com/v_19rsf3l1ys.html
萌宠小大人,7.6,http://www.iqiyi.com/v_19rrbw451c.html
青春艺能学院,7.3,http://www.iqiyi.com/v_19rqxx2ls0.html
宅家运动会,,http://www.iqiyi.com/v_19rx7bdas4.html
了不起的孩子第2季,7.6,http://www.iqiyi.com/v_19rr8uxe28.html
流行音乐在路上,,http://www.iqiyi.com/v_19rw505g6o.html
蔡徐坤《偶像练习生》全程回顾,7.3,http://www.iqiyi.com/v_19ru7y6vd0.html
国风好听跪,7.3,http://www.iqiyi.com/v_19rqr779pw.html
了不起的孩子第1季,8,http://www.iqiyi.com/v_19rr9qix90.html
tfboys偶像手记,8.6,http://www.iqiyi.com/v_19rrn38fo0.html
坑王驾到第2季,8.4,http://www.iqiyi.com/v_19rr6r60t4.html
新说唱宝藏bot,7,http://www.iqiyi.com/v_19rsry8xic.html
爱上超模第3季,7,http://www.iqiyi.com/v_19rr9qgj20.html
我们的演唱会,7.4,http://www.iqiyi.com/v_19rtbiv5rs.html
无与伦比的发布会第3季,7.3,http://www.iqiyi.com/v_19rrfarxtg.html
陪你看说唱,7.1,http://www.iqiyi.com/v_19rr5kraww.html
不做家务做什么,7.3,http://www.iqiyi.com/v_19rvh88tm8.html
下班啦!合伙人,,http://www.iqiyi.com/v_19rxgkfdx4.html
乐队我做东,7.1,http://www.iqiyi.com/v_19rtlp0578.html
《中国有嘻哈》vip独家现场,7,http://www.iqiyi.com/v_19rr8ykarc.html
爱笑会议室第2季,7.2,http://www.iqiyi.com/v_19rqt94b1s.html
中国有嘻哈·王者之路,7.3,http://www.iqiyi.com/v_19rreestvw.html
偶滴歌神啊第2季,7.8,http://www.iqiyi.com/v_19rrl9pgw0.html
我去上学啦第1季,7.9,http://www.iqiyi.com/v_19rrkm89to.html
《中国好声音》精彩片段,7.3,http://www.iqiyi.com/v_19rwecytp4.html
爱上超模第2季,7,http://www.iqiyi.com/v_19rrl6d04g.html
宅家猜猜猜,,http://www.iqiyi.com/v_19rx4b2df8.html
瑜你台上见,,http://www.iqiyi.com/v_19ry4gs9h8.html
星动亚洲第4季,7.4,http://www.iqiyi.com/v_19rqt47v1k.html
我的室友日记,7.3,http://www.iqiyi.com/v_19rqtc9zcw.html
vlog营业中2,,http://www.iqiyi.com/v_19rx83b1oo.html
大学生来了第2季,7,http://www.iqiyi.com/v_19rr8yt54o.html
坑王驾到第3季,7.7,http://www.iqiyi.com/v_19ruhzfpjk.html
奇葩大会第1季,7.5,http://www.iqiyi.com/v_19rraf50t4.html
男人的家务日记,7,http://www.iqiyi.com/v_19rvhya1mc.html
热血街舞团剧情升级版,7.2,http://www.iqiyi.com/v_19rr0nbfes.html
声林之王第1季,7,http://www.iqiyi.com/v_19rqwhccas.html
vlog营业中,7.1,http://www.iqiyi.com/v_19rubcw3is.html
落选训练生larson观看青你2的反应是?,,http://www.iqiyi.com/v_19ry0jog3s.html
一起怀孕吧,7.5,http://www.iqiyi.com/v_19rrkvql4o.html
奇葩大会第2季,7.2,http://www.iqiyi.com/v_19rrdc8u34.html
宅家点歌台,,http://www.iqiyi.com/v_19rx4zv5hg.html
大学生来了第1季,7.3,http://www.iqiyi.com/v_19rrm7hshg.html
