名称,价格,月销量,评价数,店铺所在地,适合肤质,产地,补水保湿,美白提亮,控油祛痘,清洁毛孔,提拉紧致
ANGLEE,254,40,3133,湖南,任何肤质,中国,1,1,0,0,0
ANGLEE,350,62,876,浙江,任何肤质,中国,1,1,0,0,0
ANGLEE,284.9,12,16,浙江,任何肤质,中国,1,0,1,1,0
BF,289,32,175,英国,任何肤质,中国,1,0,0,0,0
BSR,379.9,1407,13870,安徽,任何肤质,中国,1,0,0,0,0
BSR,345,318,391,安徽,任何肤质,日本,1,0,0,0,0
BSR,299,8,45,安徽,干性肤质,中国,1,0,0,0,0
BSR,266.5,20,369,安徽,任何肤质,中国,1,1,0,1,0
BSR,209,29,80,安徽,任何肤质,中国,1,1,1,1,1
calibio,454,4120,21261,浙江,任何肤质,中国,1,0,0,0,1
chen川,319,20,28,广东,任何肤质,中国,1,1,0,0,0
CML,413.5,791,1421,湖北,任何肤质,中国,1,1,1,1,1
CML,278,12,68,湖北,任何肤质,日本,1,0,0,1,0
CML,274,220,2310,湖北,任何肤质,中国,1,1,0,0,1
CML,117,33896,187356,湖北,任何肤质,中国,1,0,1,1,1
CO.E韩伊,144,8513,57307,江苏,任何肤质,中国,1,0,0,1,0
DHC,249,128,709,上海,任何肤质,中国,1,0,1,1,0
Dreamtimes M2梦幻三部曲,129,215,2022,安徽,任何肤质,中国,1,0,0,1,0
Eunice,308,463,6272,广东,任何肤质,中国,1,1,0,1,0
EXCEL萱姿,224.5,4784,23993,湖北,任何肤质,中国,1,1,1,1,0
EXCEL萱姿,129.9,83,4207,湖北,任何肤质,中国,1,1,0,0,0
Fonce,173,11415,13214,广东,任何肤质,中国,1,1,1,1,0
Franic,149,114,3808,江苏,任何肤质,中国,1,1,1,1,0
Freeplus,89.4,260,11347,上海,任何肤质,中国,1,1,0,1,1
GD,99,878,526,江西,任何肤质,中国,1,1,0,0,0
Hada Labo,296,2530,50808,广东,任何肤质,中国,1,1,0,1,0
Hada Labo,130,1099,1451,广东,任何肤质,中国,1,0,0,0,0
Herborist,146.5,122,63,上海,任何肤质,韩国,1,1,1,0,0
JVJQ,139,295,1713,安徽,任何肤质,中国,1,1,1,1,0
JVJQ,99,1912,22670,北京,任何肤质,中国,1,0,0,0,0
JVJQ,262.45,1660,35962,广东,任何肤质,中国,1,0,1,0,0
JVJQ,133.5,2288,7771,广东,油性及混合性肤质,中国,1,0,0,0,0
JVJQ,99,3985,12371,广东,任何肤质,中国,1,1,0,0,0
JVJQ,24.9,152,508,广东,任何肤质,中国,1,0,0,0,0
Kose,233,47,4033,上海,任何肤质,中国,1,1,0,0,0
mamonde,42,2237,32745,海外,任何肤质,中国,1,1,0,0,0
maxam,200.5,111,22887,天津,任何肤质,中国,1,0,0,0,0
MAYSU,135,29,204,上海,干性肤质,中国,1,1,0,0,0
MAYSU,124,820,4291,上海,任何肤质,中国,1,0,0,0,0
Miss face,107.5,56,447,浙江,任何肤质,中国,1,0,0,0,0
MODiSSA,313.5,88,128,浙江,任何肤质,中国,1,1,1,1,1
Olay,169,3849,29817,江苏,任何肤质,中国,1,1,1,1,1
Olay,99,9,12,江苏,任何肤质,中国,1,1,0,1,1
Olay,99,1017,1538,江苏,中性及干性肤质,中国,1,1,0,1,0
Oleva,129,21,40,江苏,中性及干性肤质,中国,1,0,0,0,0
pandaw,124,176,562,上海,任何肤质,中国,1,0,1,1,0
PXE,155,620,7751,广东,任何肤质,中国,1,1,0,1,0
Shoshe,518,41,381,浙江,任何肤质,中国,1,1,1,1,1
SIROSE,840,10,94,广东,中性及干性肤质,中国,1,1,0,0,1
SIROSE,412,0,5,广东,任何肤质,中国,1,1,1,1,1
SIROSE,175.5,1057,12137,广东,任何肤质,中国,1,1,1,0,1
SIROSE,265,276,4193,湖北,任何肤质,中国,1,1,0,0,1
SIROSE,169,413,4888,湖北,任何肤质,中国,1,1,1,1,1
SIROSE,149,266,760,湖北,任何肤质,中国,1,1,1,0,0
SIROSE,79,311,17655,湖北,任何肤质,中国,1,1,1,1,0
Skin Advanced,79,30,86,江苏,任何肤质,中国,1,1,0,0,0
SKIN79,39.8,2078,4629,上海,任何肤质,中国,1,1,1,1,0
skinfood,320.5,119,838,广东,任何肤质,中国,1,0,1,1,0
snoopy史努比,159,2,1,广东,任何肤质,中国,1,0,0,0,0
THAYERS,129,4878,58195,山东,任何肤质,中国,1,1,0,0,0
The Face Shop,251,83,4235,江苏,任何肤质,中国,1,1,1,1,0
The Face Shop,163.5,212,3670,江苏,任何肤质,中国,1,1,0,0,0
The Face Shop,124,215,2252,江苏,任何肤质,中国,1,0,0,0,0
X·Beautiful Resources,224,2435,17978,浙江,中性及干性肤质,中国,1,1,1,1,1
X·Beautiful Resources,99,61,2105,浙江,任何肤质,中国,1,0,1,1,0
阿芙,625,79,497,北京,任何肤质,中国,1,1,0,0,1
阿芙,281,83,110,北京,任何肤质,中国,1,1,1,1,0
艾丽嘉妍,129,427,418,河南,任何肤质,中国,1,0,0,0,0
艾丽嘉妍,124,149,9735,河南,任何肤质,中国,1,0,0,1,0
爱碧生,219,25,130,新加坡,任何肤质,中国,1,0,1,1,1
爱思乐,114,3500,3026,江苏,任何肤质,中国,1,1,1,1,0
安安金纯,192,28,60,广东,任何肤质,中国,1,1,0,0,0
安安金纯,35,28,127,河北,任何肤质,中国,1,1,0,0,0
安安金纯,113,91,494,天津,任何肤质,中国,1,0,0,0,0
安安金纯,217,110,2000,浙江,中性及干性肤质,中国,1,0,0,0,0
安安金纯,179,741,69045,浙江,任何肤质,中国,1,1,1,1,1
安安金纯,289,88,14288,浙江,任何肤质,中国,1,1,0,1,0
安婕妤,249,1996,1127,湖南,任何肤质,中国,1,1,0,0,0
安婕妤,199,129,1926,湖南,中性及干性肤质,中国,1,1,0,0,0
安婕妤,139.9,4917,12189,湖南,混合型肤质,中国,1,0,1,0,0
安婕妤,335,11,96,辽宁,任何肤质,中国,0,1,0,0,0
安婕妤,188,42,468,浙江,中性及干性肤质,中国,1,1,0,0,0
安马仕,239,39214,282961,广东,任何肤质,中国,1,1,1,1,0
奥洛菲,319.5,967,6473,安徽,任何肤质,中国,1,1,0,0,1
奥洛菲,279,1734,8294,江苏,任何肤质,中国,1,1,1,1,0
奥洛菲,202,101,868,浙江,任何肤质,中国,1,1,0,0,0
奥洛菲,153.45,9,12,浙江,任何肤质,中国,1,0,0,0,0
奥洛菲,129,166,9564,浙江,任何肤质,中国,1,1,1,1,0
奥洛菲,74.9,489,265,浙江,任何肤质,中国,1,1,1,1,1
奥洛菲,69,45,80,浙江,任何肤质,中国,1,1,1,1,0
奥洛菲,18.7,476,2658,浙江,任何肤质,中国,1,0,1,0,0
澳雅婷,365,471,11160,广东,任何肤质,中国,1,1,0,0,0
澳雅婷,349.5,96,1410,广东,任何肤质,中国,1,1,1,0,0
巴黎欧莱雅,126.95,1914,4091,江苏,任何肤质,中国,1,1,0,0,0
百年丽人,249,276,336,湖北,任何肤质,中国,1,1,0,0,1
百年丽人,169,30,443,湖北,油性及混合性肤质,中国,1,0,1,1,0
百雀羚,83,11,104,安徽,任何肤质,中国,1,1,0,0,1
百雀羚,209,82,777,江苏,任何肤质,中国,1,1,0,0,0
百雀羚,149,49,2011,江苏,任何肤质,中国,1,1,0,0,0
百雀羚,139,1185,2004,江苏,中性及干性肤质,中国,1,1,0,0,0
百雀羚,159,43,578,山东,任何肤质,中国,1,0,1,0,0
百雀羚,328.5,84,2131,上海,任何肤质,中国,1,1,0,1,0
百雀羚,227.5,5523,83941,上海,任何肤质,中国,1,1,0,0,0
百雀羚,99,703,1359,上海,任何肤质,中国,1,0,0,0,0
百雀羚,59,331,2917,上海,任何肤质,中国,1,0,1,1,0
百雀羚,43,61,290,上海,油性及混合性肤质,中国,1,0,1,0,0
百雀羚,120.35,4056,12926,四川,任何肤质,中国,1,0,0,1,1
百雀羚,286.5,54,406,浙江,任何肤质,中国,1,0,0,0,1
百雀羚,89.9,91,36,浙江,任何肤质,中国,1,0,0,0,0
百雀羚,36.5,22,33,浙江,任何肤质,中国,1,1,0,0,0
百雀羚,138,70,13849,浙江,任何肤质,中国,1,1,1,1,0
百雀羚 ,129,242,3174,安徽,任何肤质,中国,1,1,1,1,1
百雀羚 ,79,778,6138,北京,任何肤质,中国,1,0,1,1,0
百雀羚 ,287,120,1717,河南,任何肤质,中国,1,1,0,0,0
百雀羚 ,255,55,286,江苏,任何肤质,中国,1,0,0,0,0
百雀羚 ,165.5,196,1645,江苏,任何肤质,中国,1,0,1,1,0
百雀羚 ,148,16,252,江苏,敏感性肤质,中国,1,0,0,0,0
百雀羚 ,338,84,460,上海,任何肤质,中国,1,0,0,1,0
百雀羚 ,252.9,705,9450,上海,油性及混合性肤质,中国,1,1,1,1,0
百雀羚 ,249.5,6,16,上海,任何肤质,中国,1,0,0,0,0
百雀羚 ,209,16,145,上海,任何肤质,中国,0,1,0,0,0
百雀羚 ,199,233,2065,上海,任何肤质,中国,1,1,0,0,0
百雀羚 ,149,3294,13097,上海,任何肤质,中国,1,1,0,0,0
百雀羚 ,463.5,947,2927,天津,任何肤质,中国,1,1,0,0,1
百雀羚 ,93,228,26583,浙江,任何肤质,中国,1,1,1,1,1
百雀羚 ,108.5,766,2839,浙江,任何肤质,中国,1,0,0,0,0
百雀羚 ,99,4500,22513,浙江,任何肤质,中国,1,1,0,1,0
百雀羚 ,332,256,1386,重庆,任何肤质,中国,1,0,1,0,1
佰草集,192,1377,6306,江苏,任何肤质,中国,1,1,0,0,0
柏卡姿,158.5,88,594,上海,任何肤质,中国,1,1,1,0,1
柏氏 ,213.5,42,386,安徽,敏感性肤质,中国,1,1,1,1,0
柏氏 ,199,843,39416,安徽,任何肤质,中国,1,0,0,1,0
柏氏 ,184,22,2012,安徽,任何肤质,中国,1,1,1,1,0
柏氏 ,19.89,19869,13287,安徽,任何肤质,中国,1,1,1,1,1
柏氏 ,122.5,81,323,北京,中性及干性肤质,中国,1,1,0,1,0
柏氏 ,69.45,160,10175,北京,任何肤质,中国,1,0,0,1,1
柏氏 ,660,1880,15561,广东,任何肤质,中国,1,0,0,1,0
柏氏 ,228,88,7026,广东,任何肤质,中国,1,1,0,0,0
柏氏 ,212.5,169,1271,广东,任何肤质,中国,1,0,0,0,0
柏氏 ,159,48,140,广东,任何肤质,中国,1,1,0,0,0
