word,count
的,53
邢青松,22
他,20
了,15
是,12
村民,12
要,10
村,9
螃蟹,9
养殖,8
在,8
固城湖,7
年,7
疫情,7
书记,6
说,6
我,6
也,6
到,6
还,6
月,5
有,5
高淳,5
代表,5
对,5
蟹苗,5
人,5
不,5
就,5
都,5
走访,5
砖墙,4
邢,4
发展,4
圩,4
生态,4
项目,4
着,4
大家,4
村干部,4
工作,4
自己,4
养殖户,4
多,4
这个,4
永成村,4
全国人大代表,3
江苏,3
一直,3
叫,3
区,3
镇永成,3
今年初,3
与,3
江苏省,3
青松,3
公司,3
负责,3
里,3
村支书,3
后,3
今年,3
联社,3
产业,3
合作社,3
社员,3
.,3
而,3
和,3
把,3
蟹,3
我们,3
他们,3
重要,3
问题,3
集体,3
集体经济,3
人员,3
上,3
能,3
建议,3
青松水产专业合作联社,2
爱,2
新,2
南京市,2
党总支,2
走村串户,2
时,2
们,2
生态农业,2
科技,2
有限公司,2
永胜,2
万亩,2
水产,2
怎么,2
变,2
没,2
人民,2
当,2
为,2
就是,2
带,2
去,2
新冠,2
肺炎,2
带领,2
时间,2
个,2
自然村,2
排查,2
每天,2
坚持,2
卡口,2
全村,2
育苗,2
关键时期,2
合作,2
基地,2
组织,2
致富,2
带头人,2
会议,2
全国,2
大闸蟹,2
南京,2
村里,2
回到,2
银行,2
只,2
带动,2
成立,2
如今,2
指导,2
万元,2
更,2
积极,2
做好,2
时候,2
老百姓,2
好,2
不是,2
暴发,2
塘,2
一年,2
关系,2
既,2
千方百计,2
防控,2
不到,2
开始,2
按照,2
分装,2
这,2
情况,2
叮嘱,2
有些,2
乡村,2
振兴,2
环境,2
改善,2
壮大,2
跟,2
相关,2
提升,2
现场,2
解决,2
史宝忠,2
河道,2
告诉,2
记者,2
广场,2
以来,2
这位,2
从,2
湖北,2
归来,2
接触,2
武汉,2
已经,2
一,2
一边,2
隔离,2
每个,2
收入,2
流转,2
土地,2
规模化,2
效益,2
保护,2
提出,2
水,2
将,2
继续,2
递交,2
实施,2
退,2
湖,2
党委书记,1
理事长,1
大伙儿,1
邢代表,1
身份,1
三级,1
供销社,1
共同,1
出资,1
组建,1
任,1
董事长,1
兼,1
总经理,1
推进,1
高效,1
建设,1
年轻人,1
老,1
不管,1
称呼,1
初心,1
选,1
担任,1
共同致富,1
奔小康,1
心气,1
发生,1
第一,1
完成,1
辖区,1
户人,1
走村入户,1
