date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/10/30,175.11,176.62,172.5,170.02,212868.77,-6.47,-3.62,165.116,160.817,154.054,146846.16,130721.63,109811.08,1.45
2020/10/29,170.1,178.97,178.97,169.06,228567.08,16.27,10,161.736,158.555,152.315,130880.5,115381.54,102015.09,1.56
2020/10/28,155.69,164,162.7,155.12,124984.95,6.8,4.36,158.342,155.828,150.349,113828.48,98802.23,96362.42,0.85
2020/10/27,155.22,158.3,155.9,154.26,73009.93,0.39,0.25,157.382,154.628,149.21,108259.91,95740.28,93010.96,0.5
2020/10/26,150.06,155.55,155.51,147.01,94800.06,-0.09,-0.06,157.62,154.283,148.44,122285.11,100024.15,92445.63,0.65
2020/10/23,161.06,162.98,155.6,153.02,133040.48,-6.4,-3.95,156.518,153.911,147.773,114597.1,104697.13,92340.78,0.91
2020/10/22,158.3,163.9,162,154.87,143307,4.1,2.6,155.374,152.911,146.993,99882.57,100217.73,93188.15,0.98
2020/10/21,156.78,159,157.9,156.05,97142.07,0.81,0.52,153.314,151.066,146.067,83775.98,93307.95,90008,0.66
2020/10/20,149.4,157.58,157.09,149.13,143135.92,7.09,4.73,151.874,149.676,145.483,83220.65,91174.52,88428.37,0.98
2020/10/19,150.21,152.8,150,149.02,56360.05,0.12,0.08,150.946,148.403,144.95,77763.19,89169.41,86881.78,0.38
2020/10/16,151.57,152.58,149.88,148.5,59467.83,-1.82,-1.2,151.304,147.291,144.75,94797.15,88900.52,90264.04,0.41
2020/10/15,150.84,154,151.7,150.72,62774.01,1,0.66,150.448,146.075,144.335,100552.89,88648.65,93215.57,0.43
2020/10/14,152,154.46,150.7,149.69,94365.44,-1.75,-1.15,148.818,144.869,143.671,102839.93,93922.62,96466.99,0.64
2020/10/13,151.79,154.78,152.45,150.08,115848.64,0.66,0.43,147.478,143.792,143.218,99128.38,90281.64,102847.64,0.79
2020/10/12,145.62,153.03,151.79,145.61,141529.81,6.19,4.25,145.86,142.597,143.195,100575.62,84867.12,106077.44,0.97
2020/10/9,144.8,147.5,145.6,142.94,88246.56,2.05,1.43,143.278,141.635,143.225,83003.9,79984.43,106222.37,0.6
2020/9/30,146.99,146.99,143.55,142.5,74209.18,-0.45,-0.31,141.702,141.075,143.47,76744.4,86158.56,110327.65,0.51
2020/9/29,145.95,146.2,144,142.1,75807.72,-0.36,-0.25,140.92,141.068,143.648,85005.3,86708.06,112338.14,0.52
2020/9/28,141,146.5,144.36,140,123084.84,5.48,3.95,140.106,141.289,143.836,81434.9,85682.23,118165,0.84
2020/9/25,138.5,141.33,138.88,138.11,53671.21,1.16,0.84,139.334,141.497,144.093,69158.61,84594.15,120947.68,0.37
2020/9/24,139.9,141.23,137.72,137.6,56949.04,-1.92,-1.38,139.992,142.209,144.724,76964.96,91627.55,130757.85,0.39
2020/9/23,136,140.49,139.64,133.33,115513.71,-0.29,-0.21,140.448,142.595,144.962,95572.72,97782.49,134669.5,0.79
2020/9/22,138.9,142.14,139.93,138.51,57955.72,-0.57,-0.41,141.216,142.472,144.89,88410.81,99011.37,138532.57,0.4
2020/9/21,141.5,141.95,140.5,139.36,61703.37,-1.67,-1.18,142.472,142.643,144.812,89929.55,115413.64,145128.01,0.42
2020/9/18,139.23,142.3,142.17,138.04,92702.94,2.17,1.55,143.66,143.793,144.19,100029.7,127287.76,147288.74,0.63
2020/9/17,141.6,142.8,140,136.11,149987.84,-3.48,-2.42,144.426,144.814,143.474,106290.14,132460.31,147659.59,1.02
2020/9/16,146.08,148.48,143.48,143,79704.19,-2.73,-1.87,144.742,145.865,142.742,99992.25,134496.75,146061.16,0.55
2020/9/15,146.1,146.99,146.21,144.3,65549.4,-0.23,-0.16,143.728,146.227,141.962,109611.93,137968.21,151573.02,0.45
2020/9/14,147,148.5,146.44,143.5,112204.12,0.44,0.3,142.814,146.383,140.934,140897.74,150647.78,155563.25,0.77
2020/9/11,141,146.38,146,140.03,124005.15,4.42,3.12,143.926,146.689,139.807,154545.82,157301.2,161380.81,0.85
2020/9/10,141.5,144.95,141.58,141,118498.41,3.17,2.29,145.202,147.238,138.387,158630.49,169888.16,164556.42,0.81
2020/9/9,136.5,142.78,138.41,134.56,127802.58,-3.23,-2.28,146.988,147.328,136.867,169001.24,171556.52,162176.74,0.88
2020/9/8,151.99,152.9,141.64,139.01,221978.44,-10.36,-6.82,148.726,147.307,135.491,166324.5,178053.76,160284.98,1.52
2020/9/7,151.92,156.98,152,148.5,180444.5,-0.38,-0.25,149.952,146.98,134.052,160397.82,174842.38,154221.45,1.24
2020/9/4,146.7,152.5,152.38,143.07,144428.5,1.87,1.24,149.452,144.586,132.047,160056.58,167289.73,150263.76,0.99
2020/9/3,147,153.37,150.51,146.1,170352.19,3.41,2.32,149.274,142.134,129.978,181145.83,162858.87,152479.62,1.17
2020/9/2,148.04,149.55,147.1,145.1,114418.85,-0.67,-0.45,147.668,139.619,128.189,174111.8,157625.58,151368.11,0.78
2020/9/1,146.7,148.37,147.77,141.5,192345.06,-1.73,-1.16,145.888,137.696,126.777,189783.02,165177.82,152193.79,1.32
2020/8/31,152.6,155.88,149.5,149.02,178738.28,-1.99,-1.31,144.008,135.485,125.244,189286.94,160478.73,148254.34,1.22
2020/8/28,144.14,154.98,151.49,141.3,249874.77,9.01,6.32,139.72,132.925,123.644,174522.87,165460.43,145057.05,1.71
2020/8/27,137.71,142.5,142.48,136.58,135182.06,4.28,3.1,134.994,129.535,121.969,144571.91,159224.69,138661.66,0.93
2020/8/26,138.38,140,138.2,135.4,192774.94,-0.17,-0.12,131.57,126.405,120.754,141139.36,152796.96,138324.33,1.32
2020/8/25,129,139.36,138.37,128.95,189864.66,10.31,8.05,129.504,123.675,119.754,140572.61,142516.2,135888.98,1.3
2020/8/24,127.65,129.5,128.06,124.83,104917.94,1.79,1.42,126.962,121.124,118.68,131670.51,133600.53,134276.72,0.72
2020/8/21,127,130.36,127.86,126.05,100119.96,2.5,1.99,126.13,119.508,118.03,156397.98,133237.8,134349.49,0.69
2020/8/20,127.6,127.6,125.36,122.92,118019.29,-2.51,-1.96,124.076,117.822,117.336,173877.47,142100.38,138032,0.81
2020/8/19,125.65,131.5,127.87,124.51,189941.2,2.21,1.76,121.24,116.759,117.068,164454.56,145110.63,140686.47,1.3
2020/8/18,123.39,128,125.66,122.39,145354.16,1.76,1.42,117.846,115.858,116.529,144459.78,139209.77,139274.98,1
2020/8/17,120,124.44,123.9,119.88,228555.28,6.31,5.37,115.286,115.002,115.998,135530.55,136029.95,140810.36,1.57
2020/8/14,112,118,117.59,110.9,187517.42,6.41,5.76,112.886,114.363,115.443,110077.62,124653.68,141250.63,1.28
2020/8/13,112,112.98,111.18,110.1,70904.76,0.28,0.25,111.568,114.402,115.264,110323.29,118098.62,144177.74,0.49
2020/8/12,112.75,113.24,110.9,109.05,89967.29,-1.96,-1.74,112.278,115.103,115.459,125766.7,123851.7,156151.5,0.62
2020/8/11,113,115.32,112.86,112,100707.98,0.96,0.86,113.87,115.832,116.308,133959.76,129261.76,162130.25,0.69
2020/8/10,111.7,112.55,111.9,109.05,101290.63,0.9,0.81,114.718,116.236,116.855,136529.36,134952.91,166091.58,0.69
2020/8/7,114.5,115.52,111,109.1,188745.77,-3.73,-3.25,115.84,116.551,117.506,139229.75,135461.17,174205.6,1.29
2020/8/6,118,118.5,114.73,114.04,148121.83,-4.13,-3.48,117.236,116.849,118.031,125873.96,133963.63,174055.55,1.01
2020/8/5,116,118.99,118.86,114.51,130932.58,1.76,1.5,117.928,117.376,118.269,121936.7,136262.31,174520,0.9
2020/8/4,117.52,119.49,117.1,116.58,113555.98,-0.41,-0.35,117.794,117.2,118.071,124563.77,139340.18,176796.34,0.78
2020/8/3,118.1,119.4,117.51,116.3,114792.57,-0.47,-0.4,117.754,116.993,117.958,133376.47,145590.77,183797.16,0.79
2020/7/31,117.99,119.52,117.98,115.77,121966.83,-0.21,-0.18,117.262,116.522,117.656,131692.6,157847.57,192576.04,0.84
2020/7/30,117.01,120,118.19,117,128435.54,0,0,116.462,116.125,117.262,142053.3,170256.85,202859,0.88
2020/7/29,118.02,118.6,118.19,114.38,144067.91,1.29,1.1,116.824,115.815,116.733,150587.92,188451.3,217752.34,0.99
2020/7/28,114.01,119.19,116.9,114,157619.48,1.85,1.61,116.606,116.784,115.835,154116.59,194998.74,232571.81,1.08
2020/7/27,113.97,116.4,115.05,113,106373.24,1.07,0.94,116.232,117.474,114.546,157805.07,197230.26,231777.29,0.73
2020/7/24,119.14,119.88,113.98,112.17,173770.31,-6.02,-5.02,115.782,118.46,113.338,184002.54,212950.03,235220.06,1.19
2020/7/23,116,120.4,120,115.58,171108.66,2.9,2.48,115.788,119.212,112.262,198460.41,214147.47,226531.59,1.17
2020/7/22,114.65,118.81,117.1,113.07,161711.28,2.07,1.8,114.806,119.162,110.885,226314.68,212777.69,226111.74,1.11
2020/7/21,112.69,117.08,115.03,111.8,176061.88,2.23,1.98,116.962,118.941,109.694,235880.89,214252.51,228232.07,1.21
2020/7/20,115,116,112.8,106.9,237360.59,-1.21,-1.06,118.716,118.923,108.463,236655.44,222003.55,228290.35,1.63
2020/7/17,111.21,118.25,114.01,111.21,246059.64,-1.08,-0.94,121.138,118.79,107.417,241897.52,227304.5,225179.6,1.69
2020/7/16,125.8,125.85,115.09,115.09,310380,-12.79,-10,122.636,118.399,106.211,229834.52,235461.14,217975.63,2.13
2020/7/15,123.5,131.2,127.88,123.29,209542.36,4.08,3.3,123.518,117.651,104.937,199240.69,247053.37,209515.69,1.44
2020/7/14,125,126.91,123.8,120,179934.59,-1.11,-0.89,120.92,114.886,103.067,192624.12,270144.88,209642.24,1.23
2020/7/13,120,127,124.91,119.38,263571.03,3.41,2.81,119.13,111.618,101.395,207351.66,266324.33,211474.74,1.81
2020/7/10,119.3,125.17,121.5,117.41,185744.64,2,1.67,116.442,108.215,99.9,212711.47,257490.08,203914.92,1.27
2020/7/9,114.89,119.5,119.5,114.44,157410.84,4.61,4.01,114.162,105.311,98.57,241087.76,238915.71,201199.97,1.08
2020/7/8,112.47,117,114.89,112.41,176459.52,0.04,0.04,111.784,102.607,97.392,294866.05,239445.8,197779.26,1.21
2020/7/7,110.8,118.02,114.85,108.87,253572.27,3.38,3.03,108.852,100.446,96.437,347665.64,242211.62,195092.22,1.74
2020/7/6,110.09,113.8,111.47,108.8,290370.09,1.37,1.24,104.106,98.002,95.446,325296.99,234577.15,190869.11,1.99
2020/7/3,109.01,111.28,110.1,105.55,327626.09,2.49,2.31,99.988,96.044,94.552,302268.68,223054.71,187401.01,2.24
2020/7/2,101.48,110.15,107.61,101,426302.28,7.38,7.36,96.46,94.023,93.501,236743.67,200490.12,176987.55,2.92
2020/7/1,91.58,100.23,100.23,91.5,440457.47,9.11,10,93.43,92.222,92.495,184025.55,171978.01,161509.42,3.02
2020/6/30,91.2,91.87,91.12,90.88,141729.03,0.24,0.26,92.04,91.248,91.889,136757.6,149139.6,146564.81,0.97
2020/6/29,91.25,91.55,90.88,89.8,175228.55,-1.58,-1.71,91.898,91.172,91.794,143857.3,156625.15,149192.79,1.2
2020/6/26,92.46,92.46,92.46,92.46,1,0,0,92.1,91.584,91.515,143840.73,150339.76,145571.5,0
2020/6/24,93.26,94.2,92.46,91.5,162711.7,-0.82,-0.88,91.586,91.828,91.092,164236.58,163484.23,150749.66,1.11
2020/6/23,90.33,93.5,93.28,89.6,204117.73,2.87,3.17,91.014,92.177,90.677,159930.47,156112.72,147294.46,1.4
2020/6/22,92.14,92.3,90.41,89.6,177227.52,-1.48,-1.61,90.456,92.428,90.28,161521.6,147972.81,142179.37,1.21
2020/6/19,90.04,92.8,91.89,90.04,175145.7,2,2.23,90.446,92.89,89.999,169393,147161.08,139243.48,1.2
2020/6/18,89.5,90.37,89.89,88.9,101980.24,0.29,0.32,91.068,93.06,89.608,156838.79,151747.31,138021.4,0.7
2020/6/17,90.5,91.19,89.6,88.5,141181.16,-0.89,-0.98,92.07,92.979,89.495,162731.87,153484.97,137937,0.97
2020/6/16,90.88,92.91,90.49,90.15,212073.36,0.13,0.14,93.34,92.767,89.407,152294.97,151040.83,135249.57,1.45
2020/6/15,93.51,93.89,90.36,89.79,216584.56,-4.64,-4.88,94.4,92.529,89.337,134424.03,143990.02,130769.22,1.48
2020/6/12,93,95,95,92.5,112374.61,0.1,0.1,95.334,92.415,89.294,124929.15,141760.43,127161.62,0.77
2020/6/11,95.95,96.62,94.9,93.67,131445.67,-1.05,-1.09,95.052,91.445,88.922,146655.84,140803.24,127800.15,0.9
2020/6/10,95.81,96.05,95.95,94.61,88996.63,0.16,0.17,93.888,90.355,88.567,144238.07,138015.1,127514.15,0.61
2020/6/9,95.03,97.3,95.79,94.13,122718.67,0.76,0.8,92.194,89.176,88.203,149786.7,138476.2,133615.3,0.84
2020/6/8,94.5,97.1,95.03,94.01,169110.16,1.44,1.54,90.658,88.132,87.619,153556,136385.93,133180.72,1.16
2020/6/5,90.03,94.27,93.59,88.86,221008.05,4.51,5.06,89.496,87.107,87.008,158591.71,131325.88,132865.81,1.51
2020/6/4,87.95,90.3,89.08,87.94,119356.85,1.6,1.83,87.838,86.156,86.41,134950.65,124295.5,130532.01,0.82
2020/6/3,88.11,88.81,87.48,86.79,116739.75,-0.63,-0.71,86.822,86.011,85.971,131792.13,122389.04,131394.81,0.8
2020/6/2,89.9,90.48,88.11,87.7,141565.2,-1.11,-1.24,86.158,86.046,85.549,127165.71,119458.31,132314.74,0.97
2020/6/1,85.91,90.56,89.22,85.7,194288.72,3.92,4.6,85.606,86.145,85.102,119215.85,117548.42,131319.84,1.33
2020/5/29,83.94,85.75,85.3,83.38,102802.71,1.3,1.55,84.718,86.173,84.595,104060.05,112562.8,131168.14,0.7
2020/5/28,84,85.81,84,83.45,103564.29,-0.16,-0.19,84.474,86.399,84.455,113640.35,114797.06,137365.14,0.71
2020/5/27,85.37,85.8,84.16,83.8,93607.61,-1.19,-1.39,85.2,86.779,84.163,112985.94,117013.2,135279.34,0.64
2020/5/26,85,85.6,85.35,83.6,101815.92,0.57,0.67,85.934,87.229,83.849,111750.92,128754.41,135846.03,0.7
2020/5/25,84.07,85.25,84.78,82.99,118509.72,0.7,0.83,86.684,87.106,83.468,115880.99,129975.52,136281.82,0.81
